GENDER;AGE;RAPM_PAP;ANALOGIES_PAP;CFT_PAP;CFT_COMP;RAPM_COMP;ANALOGIES_COMP;RAPM;ANALOGIES;CFT;FLUID_REASON_FACTOR_SCORES;MONITORING;MATCHING;COMPARING;MC;SSPAN;CSPAN;RT_RAPM;RT_ANALOGIES;RT_CFT;RT_MONIT;RT_MATCH;RT_COMPAR
F;20;0,67;0,5;0,72;0,72;0,72;0,56;0,69;0,53;0,72;-0,15;0,92;0,59;0,88;0,57;0,9;0,56;63,44;36,63;23,83;9,01;13,21;10,47
F;26;0,56;0,61;0,56;0,61;0,56;0,56;0,56;0,58;0,58;-0,77;0,82;0,61;0,52;0,33;0,81;0,66;21,2;23,16;13,67;10,35;13,48;12,12
F;24;0,61;0,78;0,78;0,56;0,5;0,72;0,56;0,75;0,67;-0,04;0,78;0,66;0,84;0,4;0,73;0,76;49,63;32,48;21,44;9,53;12,66;10,32
F;24;0,56;0,61;0,78;0,78;0,61;0,72;0,58;0,67;0,78;0,12;0,98;0,73;0,92;0,6;0,76;0,54;30,87;33,09;30,53;9;15,17;11,49
F;21;0,39;0,22;0,39;0,33;0,39;0,67;0,39;0,44;0,36;-2,25;0,64;0,43;0,44;0,49;0,43;0,4;24,3;19,09;24,92;5,94;8,78;8,12
F;22;0,83;0,89;0,56;0,83;0,67;0,5;0,75;0,69;0,69;0,35;0,92;0,75;0,98;0,56;0,94;0,71;47,33;36,67;37,68;8,71;13,32;10,71
M;21;0,61;0,83;0,72;0,5;0,61;0,89;0,61;0,86;0,61;0,22;0,6;0,68;0,78;0,73;0,74;0,54;54,34;40,34;33,94;9,19;17,21;11,25
M;23;0,83;0,78;0,83;0,83;0,78;0,72;0,81;0,75;0,83;1,09;0,96;0,77;0,92;0,56;0,94;0,77;57,75;43,59;32,18;8,61;12,94;10,51
F;19;0,67;0,67;0,89;0,61;0,56;0,83;0,61;0,75;0,75;0,33;0,82;0,45;0,78;0,49;0,8;0,54;60,26;35,21;35,66;8,78;13,71;10,84
M;22;0,72;0,78;0,83;0,56;0,56;1;0,64;0,89;0,69;0,61;0,92;0,73;0,86;0,2;0,8;0,76;63,83;43,9;29,25;9,17;14,16;9,58
F;23;0,89;0,94;0,78;0,72;0,78;0,83;0,83;0,89;0,75;1,29;0,88;0,64;0,92;0,63;0,89;0,33;59,76;46,87;41,06;9,79;15,63;9,61
F;23;0,83;0,78;0,78;0,67;0,61;0,72;0,72;0,75;0,72;0,53;0,86;0,61;0,8;0,2;0,86;0,24;54,78;34,21;28,57;9,87;13,71;11,26
F;24;0,89;0,61;0,83;0,44;0,72;0,78;0,81;0,69;0,64;0,36;0,87;0,73;0,88;0,43;0,64;0,52;64,48;48,44;26,99;;11,55;11,65
F;23;0,83;0,94;0,72;0,56;0,78;0,83;0,81;0,89;0,64;0,91;0,87;0,59;0,82;0,76;0,8;0,55;39,67;28,33;27,71;;12,86;10,07
M;22;0,78;0,72;0,83;0,83;0,72;0,78;0,75;0,75;0,83;0,93;0,92;0,8;0,78;0,66;0,93;0,78;65,5;48,41;50,4;9,96;17,03;12,76
M;18;0,61;0,72;0,5;0,61;0,72;0,67;0,67;0,69;0,56;-0,24;0,88;0,55;0,72;0,61;0,82;0,7;65,49;47,24;34,51;10,01;17,31;10,96
F;22;0,61;0,5;0,61;0,61;0,61;0,56;0,61;0,53;0,61;-0,69;0,8;0,89;0,82;0,6;0,84;0,37;20,75;19,21;15,82;8,6;11,13;8,9
M;19;0,94;0,89;0,89;1;0,94;0,89;0,94;0,89;0,94;2,14;0,94;0,89;0,9;0,76;0,95;0,59;50,26;43,75;45,32;9,05;13,09;11,33
F;19;0,56;0,67;0,56;0,61;0,67;0,72;0,61;0,69;0,58;-0,34;0,76;0,3;0,78;0,35;0,76;0,55;53,6;47,31;33,63;10,12;12,92;11,43
